long,lat,fr,en,it
34.55113,31.66963,Ascalon,Ashkelon,Ascalona
34.59679,31.67913,Magdalgad,Magdalgad,Magdalgad
34.66093,31.76304,Azot,Azotus,Azoto
34.62982,31.79181,Ruine du port de Azot,Ruins of the Port of Azotus,Ruderi del Porto di Azoto
34.74925,31.86995,Jabnia,Jabneel,Jabnia
34.70527,31.93448,Ruine du port de Jabnia,Ruins of the Port of Jabneel,Ruderi del Porto di Jabnia
34.83140,32.01148,Bettegon,Bettegon,Bettegon
34.75484,32.05695,Joppé,Joppa,Joppe
34.87131,31.93004,Ramlé,Ramlè,Ramlè
34.89972,31.95846,Lidda,Lydda,Lidda
34.93350,31.93554,Arimathie,Arimathea,Arimatea
34.98786,31.93916,Modin,Modin,Modin
34.95873,31.89895,Beteonnaba,Beteonnaba,Beteonnaba
34.91693,31.86548,Gézer,Gezer,Gezer
34.96637,31.84270,Emmaüs de la plaine,Emmaus on plain,Emmaus della pianura
34.98514,31.77927,Saràa,Saràa,Saràa
34.99431,31.76899,Timnata,Timnata,Timnata
34.97702,31.75773,Betsames,Betsemes,Betsemes
34.98871,31.74536,Gerimot,Gerimot,Gerimot
