t|bible reference|texte|rain|snow|wind|fog|storm|night
AT|Gn 1,2|La terre était informe et vide, les ténèbres étaient au-dessus de l’abîme et le souffle de Dieu planait au-dessus des eaux.|False|False|True|False|False|True
AT|Gn 1,4|Dieu vit que la lumière était bonne, et Dieu sépara la lumière des ténèbres.|False|False|False|False|False|True
AT|Gn 1,5|Dieu appela la lumière « jour », il appela les ténèbres « nuit ». Il y eut un soir, il y eut un matin : premier jour.|False|False|False|False|False|True
AT|Gn 1,8|Dieu appela le firmament « ciel ». Il y eut un soir, il y eut un matin : deuxième jour.|False|False|False|False|False|True
AT|Gn 1,13|Il y eut un soir, il y eut un matin : troisième jour.|False|False|False|False|False|True
AT|Gn 1,14|Et Dieu dit : « Qu’il y ait des luminaires au firmament du ciel, pour séparer le jour de la nuit ; qu’ils servent de signes pour marquer les fêtes, les jours et les années ;|False|False|False|False|False|True
AT|Gn 1,16|Dieu fit les deux grands luminaires : le plus grand pour commander au jour, le plus petit pour commander à la nuit ; il fit aussi les étoiles.|False|False|False|False|False|True
AT|Gn 1,18|pour commander au jour et à la nuit, pour séparer la lumière des ténèbres. Et Dieu vit que cela était bon.|False|False|False|False|False|True
AT|Gn 1,19|Il y eut un soir, il y eut un matin : quatrième jour.|False|False|False|False|False|True
AT|Gn 1,23|Il y eut un soir, il y eut un matin : cinquième jour.|False|False|False|False|False|True
AT|Gn 1,31|Et Dieu vit tout ce qu’il avait fait ; et voici : cela était très bon. Il y eut un soir, il y eut un matin : sixième jour.|False|False|False|False|False|True
AT|Gn 3,8|Ils entendirent la voix du Seigneur Dieu qui se promenait dans le jardin à la brise du jour. L’homme et sa femme allèrent se cacher aux regards du Seigneur Dieu parmi les arbres du jardin.|False|False|True|False|False|False
AT|Gn 4,13|Alors Caïn dit au Seigneur : « Mon châtiment est trop lourd à porter !|False|False|False|False|False|True
AT|Gn 6,17|Et voici que moi je fais venir le déluge, les eaux recouvriront la terre ; ainsi je détruirai, sous les cieux, tout être de chair animé d’un souffle de vie. Tout ce qui vit sur la terre expirera.|True|False|False|False|True|False
AT|Gn 7,4|Encore sept jours, en effet, et je vais faire tomber la pluie sur la terre, pendant quarante jours et quarante nuits ; j’effacerai de la surface du sol tous les êtres que j’ai faits. »|True|False|False|False|False|False
AT|Gn 7,7|Noé entra dans l’arche avec ses fils, sa femme et les femmes de ses fils, à cause des eaux du déluge.|True|False|False|False|True|False
AT|Gn 7,10|Sept jours plus tard, les eaux du déluge étaient sur la terre.|True|False|False|False|True|False
AT|Gn 7,12|Et la pluie tomba sur la terre pendant quarante jours et quarante nuits.|True|False|False|False|False|True
AT|Gn 7,17|Et ce fut le déluge sur la terre pendant quarante jours. Les eaux grossirent et soulevèrent l’arche qui s’éleva au-dessus de la terre.|True|False|False|False|True|False
AT|Gn 7,18|Les eaux montèrent et grossirent beaucoup sur la terre, et l’arche flottait à la surface des eaux.|True|False|False|False|True|False
AT|Gn 7,19|Les eaux montèrent encore beaucoup, beaucoup sur la terre ; sous tous les cieux, toutes les hautes montagnes furent recouvertes.|False|True|False|False|False|False
AT|Gn 7,21|Alors expira tout être de chair, tout ce qui va et vient sur la terre : oiseaux, bestiaux, bêtes sauvages, tout ce qui foisonne sur la terre, et tous les hommes.|False|False|False|False|False|True
AT|Gn 8,1|Dieu se souvint de Noé, de toutes les bêtes sauvages et de tous les bestiaux qui étaient avec lui dans l’arche ; il fit passer un souffle sur la terre : les eaux se calmèrent.|False|False|True|False|False|False
AT|Gn 8,2|Les sources de l’abîme et les vannes du ciel se fermèrent, la pluie des cieux s’arrêta.|True|False|False|False|False|False
AT|Gn 8,7|et il lâcha le corbeau ; celui-ci fit des allers et retours, jusqu’à ce que les eaux se soient retirées, laissant la terre à sec.|True|False|False|False|False|False
AT|Gn 8,9|La colombe ne trouva pas d’endroit où se poser, et elle revint vers l’arche auprès de lui, parce que les eaux étaient sur toute la surface de la terre ; Noé tendit la main, prit la colombe, et la fit rentrer auprès de lui dans l’arche.|True|False|False|False|True|False
AT|Gn 8,11|Vers le soir, la colombe revint, et voici qu’il y avait dans son bec un rameau d’olivier tout frais ! Noé comprit ainsi que les eaux avaient baissé sur la terre.|False|False|False|False|False|True
AT|Gn 8,22|Tant que la terre durera, semailles et moissons, froidure et chaleur, été et hiver, jour et nuit jamais ne cesseront. »|False|False|False|False|False|True
AT|Gn 9,28|Après le déluge, Noé vécut encore trois cent cinquante ans.|True|False|False|False|True|False
AT|Gn 14,15|Durant la nuit, il se déploya contre ses ennemis, lui et ses serviteurs, il les battit et les poursuivit jusqu’à Hoba, au nord de Damas.|False|False|False|False|False|True
AT|Gn 15,12|Au coucher du soleil, un sommeil mystérieux tomba sur Abram, une sombre et profonde frayeur tomba sur lui.|False|False|False|False|False|True
AT|Gn 15,17|Après le coucher du soleil, il y eut des ténèbres épaisses. Alors un brasier fumant et une torche enflammée passèrent entre les morceaux d’animaux.|False|False|False|False|False|True
AT|Gn 19,1|Les deux anges arrivèrent à Sodome, le soir. Loth était assis à la porte de Sodome ; il les aperçut, se leva pour aller à leur rencontre et se prosterna, face contre terre.|False|False|False|False|False|True
AT|Gn 19,2|Il dit : « De grâce, mes seigneurs, faites un détour par la maison de votre serviteur ; vous y passerez la nuit, vous vous laverez les pieds et vous vous lèverez de bon matin pour reprendre votre route. » Ils répondirent : « Non ! nous passerons la nuit sur la place. »|False|False|False|False|False|True
AT|Gn 19,4|Ils n’étaient pas encore couchés que les hommes de la ville, ceux de Sodome, cernèrent la maison, des plus jeunes aux plus vieux, toute la population sans exception.|False|False|False|False|False|True
AT|Gn 19,5|Ils appelèrent Loth et lui dirent : « Où sont les hommes qui sont venus chez toi cette nuit ? Amène-les : nous voulons nous unir à eux. »|False|False|False|False|False|True
AT|Gn 19,23|Le soleil se levait sur le pays et Loth entrait à Soar,|False|False|False|False|False|True
AT|Gn 19,24|quand le Seigneur fit tomber du ciel sur Sodome et Gomorrhe une pluie de soufre et de feu venant du Seigneur.|True|False|False|False|True|False
AT|Gn 19,27|Abraham se leva de bon matin pour se rendre à l’endroit où il s’était tenu en présence du Seigneur,|False|False|False|False|False|True
AT|Gn 19,29|Lorsque Dieu a détruit les villes de cette région, il s’est souvenu d’Abraham ; et il a fait échapper Loth au cataclysme qui a détruit les villes où il habitait.|False|False|False|False|True|False
AT|Gn 19,33|Elles firent boire du vin à leur père cette nuit-là, et l’aînée alla coucher avec son père qui ne s’aperçut de rien, ni de son coucher ni de son lever.|False|False|False|False|False|True
AT|Gn 19,34|Le lendemain, l’aînée dit à la cadette : « Voici ! Hier soir, j’ai couché avec mon père. Faisons-lui boire du vin, cette nuit encore. Et toi, tu iras coucher avec lui. Ainsi, nous donnerons la vie à une descendance issue de notre père. »|False|False|False|False|False|True
AT|Gn 19,35|Cette nuit encore, elles firent boire du vin à leur père. La cadette se leva et alla coucher avec lui ; il ne s’aperçut de rien, ni de son coucher ni de son lever.|False|False|False|False|False|True
AT|Gn 20,3|Mais, pendant la nuit, Dieu vint en songe auprès d’Abimélek et lui dit : « Voici que tu vas mourir à cause de la femme que tu as prise, car elle est mariée. »|False|False|False|False|False|True
AT|Gn 24,11|Il fit agenouiller les chameaux en dehors de la ville, près d’un puits d’eau, à l’heure du soir, l’heure où les femmes sortent pour y puiser.|False|False|False|False|False|True
